basy_yljgid,basy_caption,basy_yydj,flag
510000002082 ,绵阳市涪城区妇幼保健计划生育服务中心,二级乙等,0
510000002086 ,西南科技大学医院,一级乙等,0
510000002088 ,四川长虹电子控股集团有限公司职工医院,一级乙等,0
510000002090 ,绵阳富临医院,三级乙等,0
510000002096 ,绵阳万江眼科医院有限责任公司,三级甲等,3
510000002122 ,绵阳市第三人民医院,三级甲等,0
510000002124 ,绵阳市游仙区妇幼保健计划生育服务中心,二级甲等,0
510000002132 ,三台县精神病院,二级甲等,0
510000002134 ,三台县人民医院,三级甲等,0
510000002136 ,三台县中医院,三级甲等,0
510000002138 ,三台县中医骨科医院,二级甲等,2
510000002140 ,三台县妇幼保健计划生育服务中心,二级甲等,0
510000002142 ,三台刘氏正骨医院,一级未定等,2
510000002144 ,盐亭县妇幼保健计划生育服务中心,二级甲等,0
510000002146 ,盐亭县中医医院,二级甲等,0
510000002148 ,盐亭县人民医院,三级乙等,0
510000002150 ,绵阳市安州区人民医院,三级甲等,0
510000002152 ,绵阳市安州区妇幼保健计划生育服务中心,二级甲等,0
510000002154 ,绵阳市安州区第二人民医院,二级甲等,0
510000002156 ,绵阳市安州区中医院,二级甲等,0
510000002158 ,安州仁济医院,一级未定等,0
510000002162 ,梓潼县中医院,二级甲等,0
510000002164 ,梓潼县人民医院,三级乙等,0
510000002166 ,梓潼县妇幼保健计划生育服务中心,二级甲等,0
510000002168 ,梓潼工人医院,一级甲等,0
510000002170 ,北川羌族自治县妇幼保健计划生育服务中心,二级乙等,0
510000002172 ,北川羌族自治县人民医院,二级甲等,0
510000002174 ,北川羌族自治县中羌医医院,二级甲等,0
510000002176 ,平武县人民医院,二级甲等,0
510000002178 ,平武县妇幼保健计划生育服务中心,二级乙等,0
510000002180 ,平武县中医医院,二级甲等,0
510000002184 ,江油市华坪医院,未定级未定等,0
510000002186 ,江油市第二人民医院,三级乙等,0
510000002188 ,江油市妇幼保健计划生育服务中心,二级甲等,0
510000002190 ,江油市人民医院,三级甲等,0
510000002192 ,江油市中医医院,三级甲等,0
510000002194 ,江油市精神病医院,二级甲等,0
510000002196 ,江油市第五人民医院,二级乙等,0
510000002198 ,江油市传染病医院（江油市老年病医院）,二级乙等,0
510000002200 ,江油市城东医院,一级甲等,0
510000002202 ,江油宝石花医院,二级乙等,0
510000002204 ,江油市第四人民医院,二级甲等,0
510000002214 ,江油河西医院,未定级未定等,0
510000002216 ,江油让水医院,未定级未定等,0
510000002220 ,江油市铁路医院,一级甲等,0
510000002226 ,广元市第一人民医院,三级甲等,0
510000002228 ,广元市中医医院,三级甲等,0
510000002230 ,广元市中心医院,三级甲等,4
510000002234 ,广元市妇幼保健院,三级乙等,0
