,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-only_operation-6-E,AGE-JCJY-only_operation-6-E,AGE-YP-only_operation-6-E,AGE-ZFY-only_operation-6-E,记录条数-only_operation-6
38472,6,75.690,2,407.83660890186064,1553.16367019336,787.8681904414448,7333.661891645385,5482
38473,6,75.690,3,396.5598455366098,1585.9799819458376,859.2049327983951,7854.031087261785,4985
38474,6,75.690,4,358.7124637681159,1674.1789855072464,912.0076811594203,7612.670724637682,138
38483,6,75.920,2,404.40236111111113,1655.3372222222222,760.2027777777778,7617.366666666667,72
38484,6,75.920,3,390.41777777777776,1568.6377777777777,572.9097222222222,8120.351111111111,36
38487,6,75.990,2,389.53425000000004,3488.185,1952.65975,8878.52775,40
38488,6,75.990,3,370.40727272727275,3162.675757575758,870.5109090909091,7719.098181818182,66
38513,6,76.2x0,0,1092.6436363636365,1725.5090909090907,805.3895454545454,10313.787727272727,22
38514,6,76.2x0,1,2067.288846153846,1741.6561538461538,1341.4896153846155,11928.388974358973,78
38515,6,76.2x0,2,2514.545507246377,1760.8614492753622,1617.5571739130435,13107.610217391304,138
38516,6,76.2x0,3,3774.6450381679388,1776.515419847328,1541.020610687023,14680.653816793892,131
38517,6,76.2x0,4,1329.9770786516854,1858.9656179775282,1610.9794382022474,12037.882584269664,89
38518,6,76.2x0,5,2690.8039086294416,2240.3032487309642,2021.7762436548223,14887.985329949239,197
38519,6,76.2x0,6,3557.375,3072.392142857143,2227.7810000000004,17442.053714285714,70
38520,6,76.2x0,8,3543.172830188679,3040.2854716981133,1892.9994339622642,15800.292641509433,53
38568,6,76.650,2,24375.061538461538,19052.380256410255,1897.6502564102564,73197.37076923077,39
38577,6,76.690,2,3712.9869696969695,2098.4242424242425,1611.199393939394,20877.330303030303,33
38587,6,76.720,5,19799.8111627907,4440.104418604651,5818.62023255814,41740.28813953488,43
38601,6,76.740,3,23456.219047619048,8036.484761904761,5609.50619047619,52861.88285714286,21
38603,6,76.740,5,27853.874137931034,6353.663793103448,4113.94,50954.469999999994,29
38614,6,76.760,1,22159.58238095238,8034.149523809525,4003.027142857143,46382.34761904762,21
38615,6,76.760,2,21415.069677419357,5978.7774193548385,3330.1158064516126,40746.964838709675,31
38616,6,76.760,3,17161.425483870968,8110.240322580646,3827.6316129032257,42765.97322580645,31
38617,6,76.760,4,13404.233809523808,7147.267619047619,6317.783333333334,42442.26285714286,21
38618,6,76.760,5,16719.087812499998,4559.5740625,5235.8784375,37688.7878125,32
38665,6,76.970,2,991.0041025641027,1658.3715384615384,921.7848717948718,10378.232051282052,78
38666,6,76.970,3,1017.3243749999999,1435.35625,1133.7846875,10193.725,32
38668,6,76.970,5,1087.5729999999999,2078.873,1966.5533333333333,11957.294,30
38709,6,77.150,3,13872.779166666667,3139.0325,2537.6,25890.833333333332,24
38746,6,77.270,5,15348.1644,4922.6464000000005,2942.7144,43754.35400000001,25
