,basy_yydj,basy_ssjczbm1_for_str_8,age_group,AGE-HAOCAI-only_operation-8-E,AGE-JCJY-only_operation-8-E,AGE-YP-only_operation-8-E,AGE-ZFY-only_operation-8-E,记录条数-only_operation-8
2962,1,78.6701,5,885.2671666666666,1065.6928333333333,1382.8891666666668,5579.785999999999,60
2963,1,78.6701,6,628.2557142857144,1128.347619047619,1193.1585714285716,5023.73380952381,21
2976,1,78.6705,5,524.0095454545454,936.6113636363636,917.3772727272727,4570.607727272727,22
3017,1,78.6907,5,969.8053658536586,1031.4939024390244,2015.6809756097562,6767.606829268293,41
3153,1,79.3200x,5,8123.03590909091,1457.979090909091,2323.2513636363637,16121.97409090909,22
3161,1,79.3201,5,12141.290769230769,1923.6346153846155,3124.2134615384616,20214.300000000003,26
3214,1,79.3500x,8,14413.824545454547,2876.74,3047.610454545455,26261.811818181817,22
3215,1,79.3500x,9,15215.007096774194,2784.4896774193553,2489.8390322580644,24984.560967741934,31
3222,1,79.3501,8,16067.415238095236,3095.5709523809523,3062.7066666666665,26320.94,21
3223,1,79.3501,9,15747.881379310345,2980.353793103448,3541.0772413793106,26547.211379310345,29
3235,1,79.3600x,5,14725.725,2110.564705882353,2865.2502941176467,24871.64970588235,34
3243,1,79.3601,5,18990.91909090909,2973.089696969697,4353.915454545454,31581.95,33
3257,1,79.3603,5,14197.660833333333,2377.9733333333334,2964.59,23875.960000000003,24
3427,1,80.5108,5,23490.11307692308,5194.167307692308,3416.0430769230766,40486.5,26
