,basy_zyzd_jbbm_for_str_6,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-6-6-E,AGE-JCJY-6-6-E,AGE-YP-6-6-E,AGE-ZFY-6-6-E,记录条数-6-6
11202,C18.30,6,17.330,8,19470.904761904763,12583.322380952382,13317.266904761904,68388.72428571428,42
11231,C18.30,6,45.730,6,15664.004166666668,12726.200416666667,13380.636250000001,60788.9725,24
11750,C18.70,6,17.360,4,14537.991612903226,8490.576774193549,8316.282580645162,50540.77838709677,31
11751,C18.70,6,17.360,5,16332.20375,8046.622916666667,8205.7271875,50318.10895833333,96
11752,C18.70,6,17.360,6,15948.422155172413,8932.424051724138,8582.676379310344,52292.94,116
11753,C18.70,6,17.360,8,17048.753495145633,9776.615339805825,8381.875533980583,53764.076893203885,103
11754,C18.70,6,17.360,9,15504.503611111111,11767.446944444446,10483.880555555555,59773.54888888888,36
11812,C18.70,6,45.760,6,15691.003428571428,10596.62942857143,13492.794857142857,56580.64914285714,35
11813,C18.70,6,45.760,8,10350.055483870967,10770.242903225808,11652.941935483872,52218.605161290325,31
11814,C18.70,6,45.760,9,10357.071923076923,12486.148076923077,14496.712307692309,55826.15807692308,26
12131,C18.90,6,,8,539.2384000000001,3788.5464,3958.9632,11502.514,25
12484,C20.x0,3,,5,616.6581818181818,2469.7999999999997,5869.889545454545,11034.718181818182,22
