,basy_zyzd_jbbm_for_str_5,basy_yydj,HAOCAI-5-only_disease-E,JCJY-5-only_disease-E,YP-5-only_disease-E,ZFY-5-only_disease-E,记录条数-5-only_disease
927,C19.x,5,7782.9400000000005,6900.1466666666665,6352.517333333333,30350.821333333333,30
928,C19.x,6,10280.541620111731,8618.100055865922,6881.974078212291,38529.777430167596,179
930,C20.x,1,5425.884137931034,2614.0836781609196,8208.989310344827,23527.584827586204,87
931,C20.x,2,4281.107368421052,4248.776315789473,4988.236842105263,19695.245,38
932,C20.x,3,6116.075864406779,4983.051389830508,5365.064813559323,25086.35233898305,295
933,C20.x,4,5904.076923076923,6059.9766666666665,7067.632905982907,33528.361025641025,117
934,C20.x,5,7796.243306264501,6443.89645011601,5624.440452436194,29665.21365429234,862
935,C20.x,6,10727.179507918552,8070.5521578054295,6817.070509049774,38731.843235294116,3536
942,C21.1,6,5467.023333333333,6379.199523809524,5179.994761904762,28041.9,21
946,C21.8,6,7028.310714285714,8891.302857142857,5531.464857142857,31716.938571428575,70
949,C22.0,3,2090.5378723404256,3470.844255319149,5230.325531914893,15868.850212765956,47
950,C22.0,4,896.5559016393444,3896.2388524590165,4720.407213114754,27634.60016393443,61
951,C22.0,5,5791.747531645569,5777.496265822785,6181.310696202531,27540.34639240506,158
952,C22.0,6,9550.8137913486,6612.2815674300255,7189.048773536895,36962.98574554707,1965
957,C22.1,5,4929.881538461538,5757.6857692307685,5214.053846153846,23078.807307692306,26
958,C22.1,6,7505.95375,7528.871153846153,7611.844647435897,34330.8228525641,312
968,C22.7,6,7255.1402499999995,6382.14675,8439.5715,32531.1745,40
969,C22.9,1,6267.299783783784,2521.0664864864866,9098.199837837838,26458.168162162165,185
970,C22.9,2,1608.8081818181818,2223.905909090909,7356.387272727274,15946.477727272728,22
971,C22.9,3,1489.2960795454546,3837.1985227272726,5581.899829545455,16284.720000000001,176
972,C22.9,4,1013.0572811059908,2552.94534562212,4204.4259447004615,20998.469032258065,217
973,C22.9,5,2551.555711422846,4218.618717434871,5006.717795591183,17138.345771543085,499
974,C22.9,6,5136.834059225513,4811.595029612756,5507.385275626423,24649.253107061504,2195
979,C23.x,5,2039.7386,4588.9576,4396.4394,16869.2588,50
980,C23.x,6,6493.3634749034745,7528.554324324325,9015.649652509654,35886.55625482625,259
981,C24.0,1,5511.472222222223,2847.318518518519,7808.286296296296,24533.036296296297,27
983,C24.0,3,3472.93,6484.061333333333,9547.064333333334,29426.327,30
985,C24.0,5,4824.8276033057855,5890.031487603306,7841.254380165289,26856.87619834711,121
986,C24.0,6,8840.29469745223,8138.283614649682,10622.129538216559,41052.56393312102,628
989,C24.1,6,16854.73316455696,11956.155189873418,17064.1082278481,71282.55164556962,79
998,C25.0,3,3681.152380952381,5340.028095238095,7659.877142857142,24491.274285714288,21
1000,C25.0,5,7028.2128,7903.323,8448.8142,34141.792799999996,50
