,basy_yydj,basy_ssjczbm1_for_str_4,age_group,AGE-HAOCAI-only_operation-4-E,AGE-JCJY-only_operation-4-E,AGE-YP-only_operation-4-E,AGE-ZFY-only_operation-4-E,记录条数-only_operation-4
8296,3,94.2,2,325.9304347826087,1775.428260869565,1476.4928260869565,11711.309347826087,46
8297,3,94.2,3,281.476935483871,1722.7532258064516,1223.546129032258,11191.775483870968,62
8298,3,94.2,4,245.005223880597,1916.6164179104478,1152.40223880597,11100.917164179104,67
8299,3,94.2,5,151.39174757281555,2027.3456310679612,1737.2946601941749,10179.863786407766,103
8300,3,94.2,6,86.86681818181818,2157.965909090909,1294.1011363636362,8549.19590909091,44
8301,3,94.2,8,300.8074074074074,3709.4703703703703,5192.612592592593,15077.036666666667,27
8305,3,94.3,2,3.797428571428571,673.5342857142857,432.53371428571427,10617.908285714286,35
8306,3,94.3,3,2.622272727272727,640.560606060606,256.71507575757573,10109.557045454545,132
8307,3,94.3,4,3.4896296296296296,615.1555555555556,302.35703703703706,10513.024907407407,216
8308,3,94.3,5,5.966804979253112,686.248132780083,361.41439834024897,10738.781597510375,482
8309,3,94.3,6,77.78873076923077,764.8603846153846,414.1379230769231,10995.324346153846,260
8310,3,94.3,8,54.15877192982457,914.871052631579,496.6944736842105,11353.427149122808,228
8311,3,94.3,9,218.42976190476188,1044.2035714285714,654.7935714285715,11139.823809523808,84
8343,3,96.0,4,1532.7869444444445,3153.694166666666,2986.4352777777776,11359.938888888888,36
8344,3,96.0,5,799.6911538461538,3582.9329807692307,3407.065480769231,12733.886923076923,104
8345,3,96.0,6,1182.3014655172415,3628.1478448275866,3709.6352586206895,13330.430344827586,116
8346,3,96.0,8,791.3602358490566,4400.790518867924,4542.90570754717,15938.994764150944,212
8347,3,96.0,9,1070.2075586854462,5464.590093896713,6053.2177934272295,20121.535117370895,213
8361,3,96.3,0,74.57625,1338.5083333333334,612.6120833333333,4913.531666666667,24
8365,3,96.3,4,139.62695652173915,1349.6391304347826,1222.2508695652175,4431.852173913044,23
8366,3,96.3,5,155.7930303030303,1732.8351515151514,1426.5027272727275,5383.0318181818175,33
8367,3,96.3,6,414.06434782608693,2920.38,3833.259130434782,8963.179565217391,23
8368,3,96.3,8,341.7491304347826,3521.5226086956523,3193.626304347826,10279.179130434783,46
8369,3,96.3,9,262.3198360655738,3849.860819672131,2867.01131147541,10142.518852459018,61
8382,3,96.5,5,94.3025806451613,1643.8870967741937,1211.7835483870967,4765.049354838709,31
8383,3,96.5,6,327.69117647058823,2216.866666666667,1213.430980392157,5959.34568627451,51
8384,3,96.5,8,305.43605633802815,2073.076056338028,1343.167323943662,6304.096197183098,71
8385,3,96.5,9,277.5065517241379,2589.2796551724136,3166.0186206896556,8809.849310344827,29
8391,3,96.7,0,504.3901785714285,2180.792857142857,3551.6525,10937.062678571428,56
8395,3,96.7,4,2903.9867647058823,5572.656470588236,6639.525000000001,22670.851470588233,34
8396,3,96.7,5,1377.9310101010103,6189.615858585858,7039.9551515151525,23587.631515151515,99
8397,3,96.7,6,956.6056725146199,5304.001111111111,5656.146900584796,19698.846608187134,171
8398,3,96.7,8,1425.7292334494773,6360.922682926829,8313.804006968641,27056.834912891987,287
8399,3,96.7,9,1767.4538666666667,9325.041266666667,11536.673266666667,34817.114766666666,300
8404,3,97.0,9,559.929090909091,3670.928636363636,4721.235909090909,17295.971818181817,22
8422,3,97.6,2,84.53425925925927,851.0042592592594,380.57037037037037,2010.9085185185186,54
8423,3,97.6,3,106.7367213114754,907.2830327868852,351.28131147540984,2220.0681967213113,122
8424,3,97.6,4,112.67106194690265,861.30796460177,349.6453982300885,2183.7876548672566,226
8425,3,97.6,5,85.09093525179856,937.5135011990408,322.67496402877697,2123.0861630695445,417
8426,3,97.6,6,143.6142424242424,904.6116363636364,372.9176363636364,2204.05703030303,165
8427,3,97.6,8,167.13500000000002,1062.3067592592593,443.88851851851854,2669.018981481481,108
8428,3,97.6,9,150.07095238095238,1277.337619047619,475.44999999999993,2788.2404761904763,21
8430,3,97.7,3,172.097,988.7854285714285,497.6944285714286,3009.193142857143,70
8431,3,97.7,4,187.56571428571428,1130.1223571428573,546.6467142857143,3456.155071428572,140
8432,3,97.7,5,181.61207142857143,1184.009857142857,508.6642142857143,3372.335,140
8433,3,97.7,6,165.57827586206898,1440.0644827586207,670.1055172413794,3869.4824137931037,29
8469,3,98.5,2,85.1365945945946,1168.5844864864864,695.0269189189189,3250.886756756757,185
8470,3,98.5,3,25.033458149779737,1161.7112995594714,590.7138105726873,3086.307400881057,454
8471,3,98.5,4,35.946429942418426,1304.9711324376199,684.8654318618043,3318.112418426104,521
8472,3,98.5,5,49.21868456375839,1281.0721208053692,620.3707382550335,3282.9668859060403,745
8473,3,98.5,6,50.01283333333333,1470.9304333333334,659.4336,3503.0002333333337,300
8474,3,98.5,8,111.23456375838927,1521.133154362416,833.3253691275168,3874.097986577181,149
8475,3,98.5,9,130.43088235294115,1580.8417647058825,968.2273529411766,4411.501176470589,34
8480,3,99.0,4,139.0846875,2190.6384375,1779.6634374999999,7489.1584375,32
8481,3,99.0,5,123.29602040816327,2081.271326530612,2161.3110204081636,8359.03663265306,98
8482,3,99.0,6,262.68704545454545,2244.7908333333335,1958.3404545454546,7975.530984848486,132
8483,3,99.0,8,353.4699523809524,2499.9432857142856,2139.6404285714284,8694.51942857143,210
8484,3,99.0,9,434.87556886227543,2787.950958083832,2401.885748502994,9590.892035928144,167
8488,3,99.1,5,192.64083333333335,2811.1625,5365.65875,10590.200416666667,24
8489,3,99.1,6,135.04765957446807,2867.0151063829785,5184.755957446809,10506.214680851062,47
8490,3,99.1,8,420.9609523809524,4045.8019047619046,7842.71365079365,17465.145238095236,63
8491,3,99.1,9,785.1380392156863,4135.934509803922,7034.995294117647,15937.002156862745,51
8492,3,99.2,0,58.010113636363634,708.3167045454545,618.3584848484849,2328.957159090909,264
8493,3,99.2,1,758.2381944444445,3604.6318055555553,8613.54375,16515.970833333333,72
8494,3,99.2,2,374.35883333333334,2044.7983333333332,4613.8545,9465.506,60
8495,3,99.2,3,359.44489361702125,1685.3829787234042,3020.1131914893617,7332.089574468086,94
8496,3,99.2,4,340.0088323353293,1710.4174251497006,2982.7258083832335,6879.386197604791,334
8497,3,99.2,5,303.25193423597676,1686.6464603481625,2730.63166344294,6339.260415860735,1034
