,basy_yydj,jbbm,ssbm,num,level_耗材费_mean,level_检查检验费_mean,level_药品费_mean,level_总费用_mean
119,一级乙等,G43.900,S,43,18.99302325581395348837209302,543.0846511627906976744186047,940.6332558139534883720930233,2149.218139534883720930232558
120,一级乙等,G44.004,S,38,9.788684210526315789473684211,500.0481578947368421052631579,815.3971052631578947368421053,1841.715526315789473684210526
121,一级乙等,G44.005,S,33,15.14393939393939393939393939,615.3930303030303030303030303,1356.950909090909090909090909,2627.006060606060606060606061
122,一级乙等,G44.100,S,28,22.41714285714285714285714286,771.1682142857142857142857143,1182.667142857142857142857143,2441.295357142857142857142857
123,一级乙等,G44.102,S,11,31.66363636363636363636363636,92.42727272727272727272727273,1144.455454545454545454545455,1819.578181818181818181818182
124,一级乙等,G45.000,S,44,12.96659090909090909090909091,558.9422727272727272727272727,1860.552727272727272727272727,2765.375909090909090909090909
125,一级乙等,G45.002,S,188,22.33510638297872340425531915,812.0825531914893617021276596,1767.366489361702127659574468,3239.470638297872340425531915
126,一级乙等,G45.003,S,38,5.771052631578947368421052632,592.6236842105263157894736842,2142.753947368421052631578947,3042.225
127,一级乙等,G45.004,S,560,7.466089285714285714285714286,1030.131017857142857142857143,1792.990553571428571428571429,3270.423660714285714285714286
128,一级乙等,G45.101,S,20,8.167,777.571,1663.996,3206.2385
129,一级乙等,G45.802,S,63,43.53238095238095238095238095,859.8331746031746031746031746,1080.152698412698412698412698,2257.683968253968253968253968
130,一级乙等,G45.900,S,227,16.74925110132158590308370044,747.4448017621145374449339207,1771.647885462555066079295154,3014.162555066079295154185022
131,一级乙等,G50.000,S,70,13.76828571428571428571428571,516.7017142857142857142857143,1059.697,2314.932285714285714285714286
132,一级乙等,G51.000,S,131,31.78213740458015267175572519,409.0658778625954198473282443,1441.444732824427480916030534,3286.741526717557251908396947
133,一级乙等,G51.003,S,115,29.65921739130434782608695652,428.7261739130434782608695652,1348.600434782608695652173913,3375.856434782608695652173913
134,一级乙等,G51.301,S,20,27.853,357.303,1030.925,3240.316
135,一级乙等,G51.800,S,20,24.9115,607.7455,911.2185,2804.5835
136,一级乙等,G51.803,S,173,21.71976878612716763005780347,488.7946820809248554913294798,1418.994335260115606936416185,3277.734797687861271676300578
137,一级乙等,G51.900,S,62,10.66193548387096774193548387,403.0887096774193548387096774,1694.858064516129032258064516,3410.567580645161290322580645
138,一级乙等,G56.202,S04.6,14,418.7864285714285714285714286,429.7114285714285714285714286,1098.596428571428571428571429,3263.702857142857142857142857
139,一级乙等,G58.001,S,58,16.67017241379310344827586207,450.0596551724137931034482759,978.6182758620689655172413793,1869.259482758620689655172414
140,一级乙等,G58.002,S,18,20.24166666666666666666666667,449.4272222222222222222222222,1042.61,2215.006111111111111111111111
141,一级乙等,G81.900,S,86,15.52279069767441860465116279,423.8895348837209302325581395,1511.300348837209302325581395,3890.035
142,一级乙等,G81.903,S,12,11.02166666666666666666666667,824.85,1346.75,2530.088333333333333333333333
143,一级乙等,G93.100,S,32,79.184375,278.765625,1205.3509375,2355.2540625
144,一级乙等,G93.101,S,12,83.27916666666666666666666667,1123.31,3130.4275,5263.116666666666666666666667
145,一级乙等,G93.102,S,19,74.07684210526315789473684211,735.9305263157894736842105263,1124.795263157894736842105263,2911.706315789473684210526316
146,一级乙等,H02.000,S,22,25.83636363636363636363636364,651.9286363636363636363636364,671.5981818181818181818181818,1682.951818181818181818181818
147,一级乙等,H02.000,S08.4,15,59.00,562.7973333333333333333333333,1054.790666666666666666666667,2344.578
148,一级乙等,H04.401,S,10,165.21,445.668,784.638,1730.44
149,一级乙等,H10.900,S,16,24.9175,343.785625,917.12,1559.443125
150,一级乙等,H11.000,S,22,83.25818181818181818181818182,511.7231818181818181818181818,656.3368181818181818181818182,1818.957272727272727272727273
151,一级乙等,H11.000,S11.3,274,173.8237591240875912408759124,578.0116058394160583941605839,1203.086277372262773722627737,3406.853503649635036496350365
152,一级乙等,H16.000,S,20,34.938,295.4525,1175.3855,1794.211
153,一级乙等,H16.900,S,115,29.42026086956521739130434783,280.6103478260869565217391304,945.9631304347826086956521739,1495.595391304347826086956522
154,一级乙等,H20.900,S,38,23.05263157894736842105263158,295.5386842105263157894736842,1009.223684210526315789473684,1553.955789473684210526315789
155,一级乙等,H25.900,S,623,2427.804879614767255216693419,702.0793258426966292134831461,337.2381219903691813804173355,4518.369662921348314606741573
