,basy_caption
613,三台县建平镇中心卫生院
614,三台县老马镇卫生院
615,三台县芦溪镇中心卫生院  （三台县第二人民医院）
616,三台县郪江镇中心卫生院
617,三台县金石镇中心卫生院
618,三台康喜旺医院
619,三台芦桥医院
620,中江县冯店中心卫生院
621,中江县回龙中心卫生院
622,中铁二局集团医院
623,乐山五通桥亚西医院
624,乐山嘉仁医院
625,乐山嘉华医院
626,乐山市五通桥区中医医院
627,乐山市五通桥区人民医院
628,乐山市五通桥区竹根社区卫生服务中心
629,乐山市市中区人民医院（乐山市第二人民医院）
630,乐山市市中区妇幼保健计划生育服务中心
631,乐山市沙湾区福禄镇中心卫生院
632,乐山爱尔眼科医院
633,乐山绿心肖坝社区卫生服务中心（成都理工大学工程技术学院卫生所）
634,九〇三医院
635,九龙县人民医院
636,乡城县藏医院
637,井研县宝五镇卫生院
638,井研惠康精神病医院
639,什邡市第四人民医院
640,仁寿县北斗镇卫生院
641,仁寿县板桥镇卫生院
642,仁寿县禄加镇卫生院
643,仁寿喜稚来妇产医院
644,仁寿运长医院
645,仁寿钟祥益民医院
646,仪陇华川护理院
647,仪陇县五福镇卫生院
648,仪陇县双胜镇卫生院
649,仪陇县永光镇卫生院
650,仪陇县芭蕉乡卫生院
651,仪陇脑康精神病医院
652,会东县姜州镇中心卫生院
653,会东县鲹鱼河镇中心卫生院
654,会理市城北街道中心卫生院（会理市城北街道社区卫生服务中心）
655,会理市妇幼保健计划生育服务中心（会理市妇幼保健院）
656,兴文县仙峰苗族乡中心卫生院
657,兴文县莲花镇卫生院
658,兴文阳光医院
659,内江市东兴区富溪镇卫生院
660,内江市东兴区平坦镇卫生院
661,内江市东兴区永兴镇卫生院
662,内江市东兴区永福镇卫生院
663,内江市东兴区白合中心卫生院
664,内江市东兴区胜利中心卫生院
665,内江市东兴区高梁中心卫生院
666,内江市市中区史家镇中心卫生院
667,内江市市中区龙门镇卫生院
668,内江怡宁医院
669,内江锦欣康养护理院
670,冕宁县大桥中心卫生院
671,冕宁县泸沽凌华医院
672,冕宁县漫水湾友松医院
673,凉山州喜德县尼波镇卫生院
674,凉山州喜德县米市镇卫生院
675,凉山州喜德县红莫镇中心卫生院
676,凉山彝族自治州第五人民医院（州精神卫生中心）
677,剑阁光明医院
678,剑阁县剑门关镇中心卫生院
679,剑阁县木马镇卫生院
680,剑阁县汉阳镇卫生院
681,剑阁县鹤龄镇中心卫生院
682,北川羌族自治县桂溪镇卫生院
683,华蓥市天池镇中心卫生院
684,华蓥市庆华镇中心卫生院
685,华蓥市永兴镇中心卫生院
686,南充五福堂颐养康复医院
687,南充养康康复医疗中心
688,南充嘉陵济生中西医结合医院
689,南充市嘉陵区三会镇卫生院
690,南充市嘉陵区西兴中心卫生院
691,南充市嘉陵区龙岭镇卫生院
692,南充市顺庆区芦溪镇中心卫生院
693,南充市顺庆区金台镇卫生院
694,南充市高坪区长乐中心卫生院（高坪区人民医院长乐分院）
695,南充李家安康医院
696,南充民康医院
697,南充顺庆馨康医院
698,南江县云顶镇卫生院
