,basy_zyzd_jbbm_for_str_9,basy_yydj,HAOCAI-9-only_disease-E,JCJY-9-only_disease-E,YP-9-only_disease-E,ZFY-9-only_disease-E,记录条数-9-only_disease
1776,C50.400x0,5,2259.8592592592595,4759.878148148148,1240.8237037037036,12233.968888888889,27
1777,C50.400x0,6,3644.029467455621,7431.878816568047,1971.775473372781,19879.347130177513,338
1783,C50.500x0,6,2859.487297297297,7776.99972972973,1830.1951351351352,18960.71310810811,74
1788,C50.800x0,6,2596.4585714285713,6039.970357142856,2373.5532142857146,16259.403571428571,28
1794,C50.801,6,3774.6034444444444,6246.795333333333,2891.0474444444444,18389.19477777778,90
1798,C50.802,6,4015.7444444444445,7846.951851851853,2575.1996296296297,21772.885925925926,27
1803,C50.803,6,4102.584838709677,7798.223870967742,2028.6816129032256,21339.786774193548,31
1810,C50.804,6,2424.751888888889,6648.024555555555,2061.2215555555554,16717.84988888889,90
1815,C50.900,5,1263.079090909091,3686.565909090909,2656.2322727272726,12161.401363636365,22
1816,C50.900,6,4609.055961002786,7766.082729805014,3329.385877437326,21688.650055710306,359
1821,C50.900x0,5,1368.556923076923,4039.8248717948723,1820.9953846153844,12182.42076923077,39
1822,C50.900x0,6,3068.5150957854403,6352.449348659004,3009.782375478927,17986.83908045977,261
1831,C51.900,6,1565.2639130434782,5851.134782608696,2591.4826086956523,19390.58043478261,23
1838,C53.100,6,3534.5249999999996,6410.293846153847,1957.7053846153847,19406.45076923077,26
1845,C53.900,3,1123.2334782608696,5977.086086956522,5281.40347826087,22481.71347826087,23
1847,C53.900,5,2020.65375,4562.985178571429,2772.5285714285715,18071.427142857145,56
1848,C53.900,6,2853.8837358490564,6014.55479245283,3208.3515849056607,21467.523509433962,265
1851,C53.900x0,5,2163.6825714285715,4994.0085714285715,1968.4,17018.312,35
1852,C53.900x0,6,4482.3853619302945,6805.656782841823,3132.2340214477213,28743.985147453084,373
1857,C54.100,5,1838.2065,5564.052500000001,2045.038,17216.755166666666,60
