,口腔科,basy_zyzd_jbbm,耗材费,count
415,0,可归类在他处的孕产妇的传染病和寄生虫病并发于妊娠、分娩和产褥期	,465.5528343782654,3828
416,0,可归类在他处的孕产妇的其他疾病并发于妊娠、分娩和产褥期	,466.43926563324374,39803
417,0,叶酸盐缺乏性贫血,130.131359223301,309
418,0,后天性溶血性贫血,335.6121566265061,830
419,0,后天性纯红细胞再生障碍[幼红细胞减少症],127.53977029096478,653
420,0,吞咽困难,181.6160529986053,717
421,0,含硅[矽]粉尘引起的肺尘埃沉着病,127.43377749306,4683
422,0,吸入化学制剂、气体、烟雾和蒸气引起的呼吸性情况,139.68164556962026,79
423,0,周围循环系统的其他先天性畸形,2719.8886447368423,760
424,0,周围神经和自主神经系统恶性肿瘤,1947.1816279069767,43
425,0,周围神经系统产伤,197.37,1
426,0,周围神经系统的其他疾患,102.67,5
427,0,呼吸和消化器官的继发性恶性肿瘤,3066.561739178814,8987
428,0,呼吸器官和胸腔标本的异常所见,26.235,4
429,0,呼吸异常,569.9092216280451,1683
430,0,呼吸系统和胸腔内器官其他和不明确部位的恶性肿瘤,2842.526730769231,52
431,0,呼吸系统的其他先天性畸形,3046.7466666666664,3
432,0,"呼吸衰竭,不可归类在他处者",318.4171184428452,68227
433,0,呼吸道内异物,829.1745302713987,958
434,0,呼吸道出血,420.1223344316309,12140
435,0,呼吸道烧伤和腐蚀伤,5481.146,50
436,0,"呼吸道结核,未经细菌学或组织学所证实",603.8091891891892,15244
437,0,"呼吸道结核,经细菌学和组织学证实",754.4490409087641,13909
438,0,咳嗽,64.0610352588147,2666
439,0,咽下部恶性肿瘤,1631.563046357616,453
440,0,咽痛和胸痛,125.42806458949282,4397
441,0,咽鼓管炎和阻塞,1688.2952631578949,38
442,0,咽鼓管的其他疾患,1287.8751063829786,47
443,0,品他病,0.0,1
444,0,品行和情绪混合性障碍,37.94,2
445,0,品行障碍,4.971666666666667,6
446,0,哮喘,57.43875870392721,21542
447,0,哮喘持续状态,114.46547466390899,4835
448,0,唇、口腔和咽其他和部位不明的恶性肿瘤,1225.0870142180095,211
449,0,唇及口腔粘膜的其他疾病,242.67824636441404,1169
450,0,唇恶性肿瘤,1023.2152380952381,63
451,0,唇裂,327.3630864197531,81
452,0,唐氏综合征[先天愚型],4.023722222222222,180
453,0,喉先天性畸形,1523.8194117647058,17
454,0,喉恶性肿瘤,1996.7772,1450
455,0,嗅觉和味觉障碍,22.055454545454545,11
456,0,嗜眠、木僵和昏迷,611.7434115060462,2729
457,0,嘌呤和嘧啶代谢紊乱,29.76646381578947,608
458,0,"器官后天性缺失,不可归类在他处者",5696.6552142857145,140
459,0,器官和组织的供者,2605.7047973856206,765
460,0,器官和组织移植状态,722.1732051282052,78
461,0,"器质性遗忘综合征,非由酒精和其他精神活性物质所致",23.48,1
462,0,囊性纤维化病,342.63714285714286,7
463,0,囊性肾病,1013.4616243654823,394
464,0,囊虫病[囊尾蚴病],418.02590909090907,66
465,0,四肢其他后天性变形,5906.8281277056285,924
466,0,四肢后天性缺失,2643.7698863636365,176
467,0,四肢的其他先天性畸形,1157.2430952380953,84
468,0,四肢骨和关节软骨恶性肿瘤,10107.79285198556,277
469,0,固体和液体引起的肺炎,832.8452662229618,1202
470,0,在其他情况下与保健机构接触的人,3.2503625954198476,524
471,0,在前臂水平的神经损伤,1833.1431989247312,372
472,0,在前臂水平的肌肉和肌腱损伤,847.8870876531573,1061
473,0,在前臂水平的血管损伤,3044.14292942743,751
474,0,在小腿水平的神经损伤,1349.3621036585366,328
475,0,在小腿水平的肌肉和肌腱损伤,1509.5039965913932,2347
476,0,在小腿水平的血管损伤,4671.163549488055,586
477,0,在肩和上臂水平的神经损伤,1824.35123853211,218
478,0,在肩和上臂水平的肌肉和肌腱损伤,4186.601155051485,13402
479,0,在肩和上臂水平的血管损伤,5079.83776119403,134
480,0,在胸水平的神经和脊髓损伤,3012.1151136363637,176
