,basy_zyzd_jbbm_for_str_6,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-6-6-E,AGE-JCJY-6-6-E,AGE-YP-6-6-E,AGE-ZFY-6-6-E,记录条数-6-6
10890,C34.90,6,99.250,5,1176.9765,4755.125,5211.57125,14129.176499999998,40
10891,C34.90,6,99.250,6,854.4527777777778,4489.913888888888,4786.461944444444,13520.511944444444,36
11551,C50.20,6,85.430,5,2721.020476190476,7313.751904761905,1976.1957142857143,19265.969523809523,21
11666,C50.40,6,85.430,4,2563.4897058823526,6532.25,2428.8685294117645,18716.912941176473,34
11667,C50.40,6,85.430,5,2612.741222222222,7236.706,1930.2875555555556,18713.722333333335,90
11668,C50.40,6,85.430,6,2455.7174074074073,7056.725925925926,1841.4092592592594,18148.964814814815,27
11823,C50.80,6,85.430,4,3416.372142857143,7018.641428571428,2290.1160714285716,19071.274285714284,28
11824,C50.80,6,85.430,5,2721.3503921568627,6674.945294117648,2501.2215686274512,18479.675098039217,51
11825,C50.80,6,85.430,6,2452.125652173913,7097.95043478261,2445.906956521739,18492.947391304348,23
11938,C50.90,6,85.110,5,3055.1629032258065,6724.43870967742,2945.107419354839,14545.750967741937,31
11958,C50.90,6,85.230,5,4346.035,10933.073181818183,3716.1827272727273,26737.13090909091,22
11976,C50.90,6,85.430,3,4446.186363636364,7104.305909090909,2784.4468181818183,21961.476818181818,22
11977,C50.90,6,85.430,4,3120.683461538462,6898.601538461539,3581.8973076923075,20896.965192307693,52
11978,C50.90,6,85.430,5,3269.219052631579,6370.457684210526,2345.680631578947,18967.090631578947,95
11979,C50.90,6,85.430,6,3756.5237500000003,7350.18025,2834.2107499999997,21291.80625,40
12258,C53.90,6,68.410,4,3141.336,5099.7824,1797.5308000000002,24800.9204,25
12259,C53.90,6,68.410,5,3033.180625,4572.3625,1675.43125,18569.4309375,32
12271,C53.90,6,68.610,4,5579.943611111111,6926.743888888889,2741.237777777778,33280.3325,36
12272,C53.90,6,68.610,5,7741.783269230769,7114.741538461539,3502.3692307692304,35806.68442307693,52
12273,C53.90,6,68.610,6,6352.526818181818,8111.250909090909,3028.8399999999997,34798.90863636364,22
12278,C53.90,6,68.690,4,4516.60243902439,7517.959756097561,3445.7002439024386,30511.22731707317,41
12279,C53.90,6,68.690,5,4400.841184210526,7450.013157894737,3440.8992105263155,29848.79197368421,76
12280,C53.90,6,68.690,6,4326.918571428571,8172.903571428571,4044.503214285714,31300.87857142857,28
12401,C54.10,6,68.410,4,4440.420566037736,8068.228113207548,2224.2194339622642,30624.908113207548,53
