,basy_zyzd_jbbm_3,count,耗材费
875,875,5083,2129.3975782018492
876,876,3916,2495.571149131767
877,877,5298,1682.762227255568
878,878,8268,1652.9976790033866
879,879,9696,1314.5511241749175
880,880,7665,2186.410806262231
881,881,5946,1200.941802892701
882,882,6656,1600.3616150841347
883,883,14047,1304.0763771623836
884,884,8174,1229.392580132126
885,885,2813,1215.859836473516
886,886,6458,1044.0156503561475
887,887,7617,806.3215898647761
888,888,2721,819.2739287026828
889,889,3191,1291.7649608273268
890,890,6459,1415.6116039634617
891,891,2122,2080.29938265787
892,892,3696,708.4360173160173
893,893,4079,1057.258438342731
894,894,8900,895.3732134831461
895,895,4832,1137.5976552152317
896,896,2558,939.6931743549649
897,897,4334,1161.1937263497923
898,898,2038,759.4271687929343
899,899,7204,1201.1237729039424
900,900,3079,1321.6753816174082
901,901,3266,640.0825107164727
902,902,4471,1159.3755222545292
903,903,7010,919.1564935805991
904,904,1904,692.3108981092437
905,905,1205,622.0538257261411
906,906,1992,679.0750251004016
907,907,3293,868.492171272396
908,908,1183,1023.8989771766695
909,909,3296,907.7267202669902
910,910,5481,1121.961510673235
911,911,2589,872.1386790266512
912,912,3364,955.0262960760999
913,913,1143,1088.3293088363953
914,914,4151,755.8920669718141
915,915,5054,931.5473605065296
916,916,1591,1017.9031363922061
917,917,10090,896.7974271555995
918,918,2855,966.1735866900175
919,919,12337,889.410736807976
920,920,4553,941.903992971667
921,921,9938,913.5644093378949
922,922,8492,847.0531123410269
923,923,13409,924.732040420613
924,924,12080,905.4019842715232
925,925,4730,958.9512727272727
926,926,12077,938.0134511882089
927,927,9739,912.6178437211213
928,928,12409,904.3362849544686
