,basy_zyzd_jbbm_for_str_4,basy_yydj,age_group,AGE-HAOCAI-4-only_disease-E,AGE-JCJY-4-only_disease-E,AGE-YP-4-only_disease-E,AGE-ZFY-4-only_disease-E,记录条数-4-only_disease
1378,C32.,6,8,2216.3927906976746,6361.478837209303,2910.6202325581394,22509.967906976744,43
1397,C34.,3,5,4395.322162162162,3981.7478378378382,3742.658378378379,17008.193243243244,37
1398,C34.,3,6,2706.636,4725.31323076923,7049.147538461539,20607.38046153846,65
1399,C34.,3,8,1791.0764814814816,3964.8046296296297,3770.1453703703705,13581.791666666666,54
1400,C34.,3,9,662.85,3781.5420689655175,5082.944137931035,15055.447586206896,29
1402,C34.,4,3,588.8191666666667,5955.431666666666,2603.2804166666665,45552.68958333333,24
1403,C34.,4,4,2941.0186666666664,6256.464444444445,5725.427111111111,45525.54777777778,45
1404,C34.,4,5,3686.743768115942,6168.8460869565215,3247.4485507246377,39082.77456521739,138
1405,C34.,4,6,3446.1319811320755,6452.3300943396225,2938.4313207547166,35603.229339622645,106
1406,C34.,4,8,4347.518686868687,5467.46303030303,3937.728686868687,25626.805050505052,99
1407,C34.,4,9,922.3175862068965,4691.0403448275865,5087.074827586207,17884.896206896552,29
1410,C34.,5,4,14266.81425925926,6011.493703703703,3400.6600000000003,32759.482962962964,54
1411,C34.,5,5,7560.482524271844,4996.644854368932,2827.8566504854366,21490.559660194176,206
1412,C34.,5,6,6441.233726937269,5234.7002952029525,2857.7839114391145,20477.62269372694,271
1413,C34.,5,8,3882.541866666667,4825.8615,2598.6028333333334,16132.036633333335,300
1414,C34.,5,9,1438.7908860759494,5308.47329113924,3871.5403797468357,15655.197088607596,79
1416,C34.,6,2,14943.466455696203,5862.983797468355,2374.662911392405,35631.22126582279,79
1417,C34.,6,3,16523.76060465116,6100.647953488372,2594.1687441860468,38516.62362790698,215
1418,C34.,6,4,14709.923316831682,6721.048663366337,3015.733267326733,36355.3499339934,606
1419,C34.,6,5,12839.440531966813,7323.903577354807,3317.216334797462,34037.28075158614,2049
1420,C34.,6,6,10324.883697148476,7541.807802359882,3399.6053441494596,30199.826814159293,2034
1421,C34.,6,8,7908.238875816994,7601.136973856209,3637.0005882352943,26544.051261437908,1530
1422,C34.,6,9,3573.7871527777775,7217.235590277778,3555.585138888889,20338.36347222222,288
1528,C44.,6,5,2524.4946666666665,3131.364,1788.0613333333336,13702.394999999999,30
1529,C44.,6,6,915.4678723404255,3153.5540425531917,1071.8412765957446,10889.661276595745,47
1530,C44.,6,8,2224.568550724638,3941.13115942029,1748.9478260869564,14936.871304347826,69
1531,C44.,6,9,1378.3332608695653,4117.885,1189.2163043478263,12618.680869565216,46
1560,C48.,6,5,6108.682380952381,10321.698571428571,6918.0804761904765,40928.45904761905,21
1583,C49.,6,5,4187.4400000000005,7525.667619047618,7341.028095238095,28847.592857142856,21
1609,C50.,5,4,1394.5465625,3992.3090625,1632.9,11633.2353125,32
1610,C50.,5,5,2017.4294827586207,4468.374310344828,2049.9194827586207,13300.315689655174,58
1611,C50.,5,6,2029.856923076923,4992.682564102564,1858.9089743589743,15162.097435897436,39
1614,C50.,6,2,7691.161363636363,6433.482727272727,1828.6831818181818,22287.68590909091,22
1615,C50.,6,3,6712.679834254144,7434.544475138122,2608.5619337016574,24943.792541436465,181
1616,C50.,6,4,4311.3551325301205,7024.906192771084,2500.2205060240963,20485.099927710846,415
1617,C50.,6,5,3082.8947546012273,6976.352269938649,2485.571058282209,18315.17231595092,652
1618,C50.,6,6,2881.7029571984435,7362.7146692607,2785.670233463035,18676.142568093383,257
1619,C50.,6,8,2212.064387755102,7534.621428571429,2000.7821428571428,17739.095,98
1620,C50.,6,9,1728.825238095238,7904.253333333334,2195.705238095238,18638.68571428571,21
1661,C53.,5,5,2449.3546153846155,4550.278717948718,2399.0015384615385,18344.673333333332,39
1666,C53.,6,3,3691.3906944444443,5623.767916666667,2353.274861111111,26171.57972222222,72
1667,C53.,6,4,3876.9078571428577,6083.709155844155,3543.455454545455,26972.942337662338,154
1668,C53.,6,5,4088.604137931034,6572.772720306513,3019.3435249042145,25527.77796934866,261
1669,C53.,6,6,3655.2023364485985,7002.252242990654,3278.878598130841,25235.622056074768,107
1670,C53.,6,8,2831.6355384615385,7285.959076923076,3029.274153846154,21613.312615384617,65
1685,C54.,5,5,2187.2935714285713,6753.016071428572,1961.8253571428572,20708.776071428572,28
1690,C54.,6,3,3340.8913793103447,5716.61724137931,2257.647931034483,25617.07896551724,29
