,basy_zyzd_jbbm_3,basy_ssjczbm1_3,count,耗材费
80,5,45,8,6199.87375
81,5,54,4,1661.955
82,5,88,1,3578.5
83,5,89,1,294.31
84,5,96,3,6775.183333333334
85,5,100,12,298.28833333333336
86,6,3,1,367.03
87,6,34,1,799.77
88,6,38,1,250.03
89,6,44,1,409.86
90,6,45,2,2246.6000000000004
91,6,50,1,2358.58
92,6,89,3,324.74666666666667
93,6,93,3,235.17333333333332
94,6,99,2,216.95999999999998
95,6,100,18,329.92611111111114
96,7,3,9,365.9433333333333
97,7,6,1,277.55
98,7,17,10,295.65999999999997
99,7,34,1,716.5600000000001
100,7,38,14,593.0271428571428
101,7,39,2,1484.2250000000001
102,7,43,4,344.20500000000004
103,7,44,19,695.5794736842105
104,7,45,60,618.244
105,7,48,8,584.4499999999999
106,7,49,1,912.33
107,7,54,2,840.17
108,7,57,1,246.71
109,7,60,1,1156.77
110,7,88,6,3362.7899999999995
111,7,89,15,397.26
112,7,90,2,256.11
113,7,93,12,509.76833333333326
114,7,96,3,427.0666666666666
115,7,99,13,314.0369230769231
116,7,100,214,317.48696261682244
117,8,3,13,1572.8207692307692
118,8,17,53,301.9141509433962
119,8,21,1,217.59
120,8,29,1,514.86
121,8,31,14,474.61642857142857
122,8,32,98,15079.762244897958
123,8,33,692,588.5657658959537
124,8,34,176,1350.230284090909
125,8,38,52,753.4492307692308
126,8,39,14,5565.264999999999
127,8,40,6,1804.8333333333333
128,8,41,4,984.9375
129,8,42,2,274.395
130,8,43,23,519.7639130434783
131,8,44,81,336.2388888888889
132,8,45,253,563.0088932806324
133,8,46,1,7751.73
134,8,47,2,2398.95
135,8,48,22,562.5931818181817
136,8,49,3,480.8633333333334
137,8,52,1,316.66
138,8,54,9,780.5722222222223
139,8,57,7,758.62
140,8,83,3,1135.0733333333335
141,8,87,2,366.545
142,8,88,5,480.79200000000003
143,8,89,45,370.02244444444443
144,8,90,12,314.6925
145,8,91,2,329.255
146,8,93,95,403.57063157894737
147,8,96,23,2356.533913043478
148,8,97,1,1094.94
149,8,99,55,338.06054545454543
150,8,100,968,358.1169938016529
151,9,3,35,583.8571428571429
152,9,6,2,487.57500000000005
153,9,17,57,332.00385964912283
154,9,18,1,218.59
155,9,21,2,568.525
156,9,23,1,270.67
157,9,27,1,745.63
158,9,29,12,516.8875
159,9,30,4,648.4675
160,9,31,61,478.41229508196716
161,9,32,342,16267.056988304093
162,9,33,2882,582.8196842470506
163,9,34,1032,1215.7080426356588
164,9,37,4,579.0699999999999
165,9,38,52,1386.646923076923
166,9,39,74,6623.3322972972965
167,9,40,23,1219.6130434782608
168,9,41,15,840.8966666666668
169,9,42,2,11278.93
170,9,43,15,414.836
171,9,44,86,434.10081395348834
172,9,45,182,529.1645054945055
173,9,47,1,2161.21
174,9,48,21,594.6223809523809
175,9,49,3,1075.9166666666667
176,9,50,3,527.3433333333334
177,9,51,1,2266.0
178,9,52,2,2158.265
179,9,54,19,767.3
180,9,57,12,1039.5375000000001
181,9,64,1,1863.1
182,9,77,1,879.86
183,9,78,1,1900.46
184,9,79,2,4698.53
185,9,81,1,482.71
186,9,83,3,818.9133333333333
187,9,86,5,1335.9900000000002
188,9,87,5,311.316
189,9,88,15,1614.7020000000002
190,9,89,67,392.70925373134327
191,9,90,17,490.68352941176477
192,9,93,192,645.5121875
193,9,96,44,1412.3061363636364
194,9,97,1,317.42
195,9,99,65,382.1801538461538
196,9,100,1987,418.029411172622
197,10,0,1,349.88
198,10,1,1,5090.26
199,10,2,1,15890.47
200,10,3,159,778.0782389937107
201,10,4,1,666.77
202,10,8,1,412.83
203,10,9,1,224.46
204,10,17,18,429.905
205,10,18,2,309.725
206,10,21,6,645.1933333333333
207,10,28,1,2298.11
208,10,29,3,265.98
209,10,30,3,586.7866666666667
210,10,31,63,409.74031746031744
211,10,32,344,15787.600465116278
212,10,33,3565,573.2483842917251
213,10,34,1783,941.7345204711161
214,10,37,3,331.41333333333336
215,10,38,34,1148.9691176470587
216,10,39,97,7650.876391752578
217,10,40,46,1542.7391304347825
218,10,41,9,879.5966666666667
219,10,42,1,1441.86
