,最小样本数量,费用类型,记录总数,统计特征长度,原始训练数据量,原始验证数据量,训练数据可预测数据量,测试数据可预测数据量,训练数据可预测数据的均方差,测试数据可预测数据的均方差,训练数据可预测数据的O/E标准差,测试数据可预测数据的O/E标准差,训练数据可预测数据O/E均值,测试数据可预测数据O/E均值
87,20###30,检查检验费,10349151,8,8279320,2069831,235542,57417,2891.370489365334,3023.105796613769,0.5606895603376367,0.6294873832508622,1.0000000000000002,1.0150147884273557
88,30###50,检查检验费,10349151,8,8279320,2069831,348558,85735,2858.786383928249,2941.4557336944977,0.5743882357426184,0.6080703471210815,0.9999999999999997,1.0065600518674995
89,50###100,检查检验费,10349151,8,8279320,2069831,549955,136313,2492.023265425725,2477.745294586145,0.58378497050489,0.620749032851828,0.9999999999999998,1.0070935452167462
90,100###1000000,检查检验费,10349151,8,8279320,2069831,5876649,1466256,1994.2358630978292,1952.9280381419856,0.6390785476244685,0.6311360225420279,1.0000000000000009,1.0006961755565016
91,5###10,检查检验费,10349151,9,8279320,2069831,290750,65991,2915.6437835056454,3353.235603387283,0.4880275346586043,0.743030869729764,1.0,1.0582171228694532
92,10###15,检查检验费,10349151,9,8279320,2069831,194810,45721,2823.449443793427,2959.0509916396536,0.529635503930005,0.6689078047495938,1.0,1.0260698053297788
93,15###20,检查检验费,10349151,9,8279320,2069831,156643,38005,2763.1440294172767,3084.806414674128,0.5435257787198489,0.6626623474426411,1.0,1.023575362324033
94,20###30,检查检验费,10349151,9,8279320,2069831,236627,57733,2882.7309076290508,3016.181850398416,0.5593800270914644,0.6287687944080194,1.0000000000000002,1.0147790580544698
95,30###50,检查检验费,10349151,9,8279320,2069831,348912,85826,2855.774614186354,2940.4712997965557,0.5743611894006837,0.6083596778294316,1.0,1.00661166145508
96,50###100,检查检验费,10349151,9,8279320,2069831,550235,136411,2488.810872267663,2474.8357242175402,0.5837327070608544,0.6207270710752405,1.0,1.0071441561498515
97,100###1000000,检查检验费,10349151,9,8279320,2069831,5871039,1464791,1994.1790075061776,1952.9856713330007,0.639022732436943,0.6311635189262118,0.9999999999999988,1.000707850338371
98,5###10,药品费,9541032,3,7632825,1908207,59183,13960,6826.1300361379635,7781.345056173325,0.7624565266892869,1.8717487220727473,1.0,1.2026222423652446
99,10###15,药品费,9541032,3,7632825,1908207,47440,11292,6501.401340751436,6300.1705874428835,0.8536100928873649,1.3726048651526022,1.0,1.0988845942520475
100,15###20,药品费,9541032,3,7632825,1908207,41581,10087,5816.030159095924,7586.960266319976,0.9118019094293017,1.9783114483679618,1.0,1.099846783322537
101,20###30,药品费,9541032,3,7632825,1908207,71168,17619,6036.976408587301,7563.775750568999,0.9378556043708829,1.2675438913826085,1.0,1.0593419297495081
102,30###50,药品费,9541032,3,7632825,1908207,117665,29200,5549.566370679731,6776.793821599326,0.9863614530075965,1.2681016076811134,1.0,1.0191970376610437
103,50###100,药品费,9541032,3,7632825,1908207,223022,55477,5688.716934407911,5831.01742181183,1.0408524185445411,1.3909979152352085,0.9999999999999998,1.009659250302585
104,100###1000000,药品费,9541032,3,7632825,1908207,6995414,1748100,3847.921490613733,4011.2207748765622,1.0566236602113142,1.1640710856106185,1.0000000000000004,1.0018214204276101
105,5###10,药品费,9541032,4,7632825,1908207,91239,21457,6249.828800621193,7510.21374122401,0.7283480064238012,1.6865236250009665,1.0,1.1556646386694926
106,10###15,药品费,9541032,4,7632825,1908207,68560,16353,5794.57628116669,6303.114591419274,0.813409202059118,1.2889416211491194,1.0,1.101482757473541
107,15###20,药品费,9541032,4,7632825,1908207,58103,14224,5724.820121065805,7190.297947363631,0.8779592522123667,1.3134140559002887,1.0000000000000002,1.070398484651046
108,20###30,药品费,9541032,4,7632825,1908207,96297,23651,6314.358168128783,6387.111343024852,0.8956152961323899,1.193360599999025,1.0,1.0430255353760067
109,30###50,药品费,9541032,4,7632825,1908207,150267,37097,5977.350876585147,6304.296801290021,0.9285965218198529,1.0481584940331483,0.9999999999999998,1.0099695088713385
110,50###100,药品费,9541032,4,7632825,1908207,278152,68932,5598.42458645734,5924.158832594905,0.9635967410435815,1.2130488307022858,1.0,1.0146986840848014
111,100###1000000,药品费,9541032,4,7632825,1908207,6750311,1686688,3519.42636343563,3597.9755832463698,1.0064620308260643,1.002862919056767,0.9999999999999988,1.001180758606307
112,5###10,药品费,9541032,5,7632825,1908207,175055,40227,5878.206184269145,7031.998478933354,0.6965878377374428,1.3519097415308212,0.9999999999999999,1.126446565566568
113,10###15,药品费,9541032,5,7632825,1908207,121017,28931,5485.402437152633,5137.983021128415,0.7775370774359801,1.2116276832541184,1.0,1.077424630540993
114,15###20,药品费,9541032,5,7632825,1908207,100810,24791,5329.57085833093,4551.040227810276,0.8189718307974694,1.1092923571780695,1.0000000000000002,1.05688788859482
115,20###30,药品费,9541032,5,7632825,1908207,159570,39185,5005.54071415109,6445.900698006856,0.8401965284203025,1.1493582800184377,1.0000000000000002,1.0426036279063844
116,30###50,药品费,9541032,5,7632825,1908207,239274,59257,5008.849071926436,5455.360267758169,0.8779959723955608,1.0252244922464233,1.0000000000000002,1.0203386712280678
117,50###100,药品费,9541032,5,7632825,1908207,408962,100899,4936.633312685195,4598.123420568586,0.9139901881482926,1.07585197181778,1.0,1.0157403525406996
118,100###1000000,药品费,9541032,5,7632825,1908207,6104335,1523840,3195.7134667923488,3175.6426690506237,0.9362423180810279,0.9306921550835432,1.0000000000000004,1.0012950037615376
119,5###10,药品费,9541032,6,7632825,1908207,181561,41701,5797.668341671895,6961.903114027451,0.6959689731122859,1.3471858399612895,1.0,1.1245659483920836
120,10###15,药品费,9541032,6,7632825,1908207,125638,30063,5508.168949300031,5096.242572614586,0.7761117947103955,1.2001970457104603,1.0,1.0755227046306555
