,最小样本数量,费用类型,记录总数,统计特征长度,原始训练数据量,原始验证数据量,训练数据可预测数据量,测试数据可预测数据量,训练数据可预测数据的均方差,测试数据可预测数据的均方差,训练数据可预测数据的O/E标准差,测试数据可预测数据的O/E标准差,训练数据可预测数据O/E均值,测试数据可预测数据O/E均值
1982,10,耗材费,4266194,6,3412955,853239,3053945,759455,5560.296096748777,5674.892173854514,1.0173826718473828,1.1578864809111122,0.9999999999999997,1.0114586678131325
1983,15,耗材费,4266194,6,3412955,853239,2981234,742120,5537.959801957981,5635.055411654504,1.0214729141382688,1.1383620035841506,0.9999999999999997,1.009142919411965
1984,20,耗材费,4266194,6,3412955,853239,2921414,727830,5494.890805432084,5574.354825480354,1.024405239045768,1.1212327975007885,1.0000000000000002,1.007408056623411
1985,30,耗材费,4266194,6,3412955,853239,2827577,704799,5437.303427538986,5493.906200320497,1.0270244512218478,1.109543157098757,1.0,1.0059701967281114
1986,50,耗材费,4266194,6,3412955,853239,2692485,671628,5336.352283378138,5402.688727310287,1.0290595201122046,1.098864829427435,0.9999999999999998,1.005221417722882
1987,100,耗材费,4266194,6,3412955,853239,2470724,616507,5121.178741918336,5197.806702597418,1.0298293268662368,1.092842470911902,0.9999999999999997,1.0045038814502352
1988,5,耗材费,4266194,7,3412955,853239,3025123,748283,5249.3492504508995,5404.125951260572,0.9456787597858695,1.1617600080618382,0.9999999999999999,1.016704787566016
1989,10,耗材费,4266194,7,3412955,853239,2888165,716899,5194.19897353371,5320.339381234158,0.9559205214924578,1.1349614238509869,1.0000000000000007,1.012488385135452
1990,15,耗材费,4266194,7,3412955,853239,2793123,694205,5113.280460990592,5225.014111301956,0.9610025224948211,1.0953153675257294,1.0000000000000002,1.0092360129046314
1991,20,耗材费,4266194,7,3412955,853239,2719604,676571,5050.250276461753,5128.759213213052,0.9644248430855736,1.0764272441773246,0.9999999999999997,1.0075915162050195
1992,30,耗材费,4266194,7,3412955,853239,2604080,648177,4954.581103461666,5013.072724552364,0.9684580916830599,1.0422768388040686,0.9999999999999991,1.0058837670373004
1993,50,耗材费,4266194,7,3412955,853239,2436574,607020,4760.111212383011,4805.233269970948,0.97223203336886,1.040428663998315,1.0,1.0053486138253775
1994,100,耗材费,4266194,7,3412955,853239,2180235,543241,4573.317311501061,4626.521634099313,0.9726091761414654,1.0191913138133772,0.9999999999999998,1.0035159841719874
1995,5,耗材费,4266194,8,3412955,853239,2980549,736454,5171.048825311987,5342.586898224501,0.9277346942878899,1.152875143427546,0.9999999999999996,1.0171903995436924
1996,10,耗材费,4266194,8,3412955,853239,2831793,702297,5078.027178114678,5237.763366181278,0.9386001747220142,1.126003948278509,0.9999999999999996,1.0128562389283713
1997,15,耗材费,4266194,8,3412955,853239,2729654,677861,4970.123365842239,5043.209502570395,0.9441534683406939,1.084752215723383,0.9999999999999998,1.0094943858181398
1998,20,耗材费,4266194,8,3412955,853239,2651910,659204,4925.040626281868,4982.001790239816,0.9478572545190839,1.0678725864109133,1.0000000000000002,1.0078820075706316
1999,30,耗材费,4266194,8,3412955,853239,2529295,629103,4834.255425360248,4874.689672948222,0.9524468003577203,1.0339116910328259,1.0000000000000007,1.0061217981824697
2000,50,耗材费,4266194,8,3412955,853239,2352226,585795,4599.779621459871,4607.2759967410075,0.9556925936691493,1.0323089866073947,1.0000000000000004,1.0057044955872887
2001,100,耗材费,4266194,8,3412955,853239,2088189,520164,4362.41611778832,4402.7728880425675,0.9568274309373691,1.0129927521964315,0.9999999999999999,1.0040565647655508
2002,5,耗材费,4266194,9,3412955,853239,2979104,736082,5170.123323617094,5341.778754082289,0.9273521421376322,1.1523300533218173,1.0000000000000002,1.0172216227730109
2003,10,耗材费,4266194,9,3412955,853239,2830190,701877,5075.805789347924,5236.568838347045,0.938234698406852,1.1260329306043007,1.0,1.0129693938988693
2004,15,耗材费,4266194,9,3412955,853239,2727899,677433,4968.519631109534,5042.502673089969,0.9438241454196615,1.0846387226101448,1.0000000000000004,1.009584879534123
2005,20,耗材费,4266194,9,3412955,853239,2649989,658739,4923.602639273557,4981.03527253881,0.9475555588082558,1.0676129172209459,0.9999999999999997,1.0079140978593666
2006,30,耗材费,4266194,9,3412955,853239,2527250,628599,4835.008626048646,4875.748887557117,0.9521770479455525,1.0337322169947305,0.9999999999999998,1.006141666352914
2007,50,耗材费,4266194,9,3412955,853239,2350014,585241,4600.799475848202,4608.521588259739,0.9554718093282497,1.0320885554581687,1.0000000000000007,1.0056754425674514
2008,100,耗材费,4266194,9,3412955,853239,2085528,519551,4363.569189853528,4404.159117591573,0.9568458860979769,1.0126392620052047,0.9999999999999994,1.0040127471452283
2009,5,检查检验费,10349151,3,8279320,2069831,8186182,2043247,2538.72904459137,2525.6314137573568,0.7106601120036243,0.7179557188077159,1.0000000000000002,1.0020713224852138
2010,10,检查检验费,10349151,3,8279320,2069831,8127848,2029348,2530.2074380549398,2512.075117451131,0.7116177085195358,0.7157496722198379,1.0000000000000007,1.0016047080411496
2011,15,检查检验费,10349151,3,8279320,2069831,8079824,2017610,2522.8737887317584,2506.410260796379,0.7122134080069253,0.7151116795298947,0.9999999999999996,1.0013418860183623
2012,20,检查检验费,10349151,3,8279320,2069831,8038090,2007434,2514.667978952621,2501.181947931954,0.7126118387384918,0.7143699000384104,1.0000000000000004,1.0012413630658903
2013,30,检查检验费,10349151,3,8279320,2069831,7964852,1989257,2501.115365934652,2494.615423194041,0.7131933671200813,0.7144139938063454,0.9999999999999996,1.0012043218535338
2014,50,检查检验费,10349151,3,8279320,2069831,7844160,1959134,2486.835364812143,2481.9978161520758,0.7138376987896506,0.7145571238094529,1.0000000000000007,1.0010552572465858
2015,100,检查检验费,10349151,3,8279320,2069831,7611190,1901371,2464.472346425867,2445.5264860858283,0.7149749875013633,0.7123998135582256,0.9999999999999996,1.0008333615333005
2016,5,检查检验费,10349151,4,8279320,2069831,8112623,2023148,2440.981823740443,2434.7852932942474,0.6909622603406582,0.6981405336140933,0.9999999999999991,1.0022753485489897
2017,10,检查检验费,10349151,4,8279320,2069831,8025475,2002684,2428.1199352282174,2423.370669149925,0.692466809662537,0.6978468689645327,1.0000000000000007,1.0018406323949574
2018,15,检查检验费,10349151,4,8279320,2069831,7954537,1985526,2414.032203096479,2412.8675744118277,0.6933696769585302,0.6974844823690027,1.0000000000000004,1.0015429671202674
2019,20,检查检验费,10349151,4,8279320,2069831,7897077,1971538,2403.2871557460526,2403.9151651134257,0.6939347520231148,0.6970480981899206,1.0000000000000009,1.0014272190310585
2020,30,检查检验费,10349151,4,8279320,2069831,7798732,1947220,2391.0779905197896,2388.298403341129,0.69489281192367,0.6968249616604184,0.9999999999999998,1.0011917254747171
2021,50,检查检验费,10349151,4,8279320,2069831,7644105,1908934,2364.578001517751,2365.5828908774406,0.6961537061495995,0.6967562165846116,1.0000000000000007,1.0010396830506239
2022,100,检查检验费,10349151,4,8279320,2069831,7352624,1836140,2337.562359692581,2323.8428772004972,0.6984202242497057,0.6962309838982592,1.0000000000000007,1.0008103985355639
2023,5,检查检验费,10349151,5,8279320,2069831,7898946,1964911,2295.4971328389,2308.592916554725,0.6422353930437357,0.6518091171940559,1.0000000000000002,1.0034877074854316
2024,10,检查检验费,10349151,5,8279320,2069831,7730832,1926250,2266.7033269270737,2263.2373507412,0.6447230204681833,0.6478692381467744,0.9999999999999998,1.002479337153925
2025,15,检查检验费,10349151,5,8279320,2069831,7608140,1896661,2254.4431882113395,2249.887316257808,0.6461415828144371,0.6475921946639004,0.9999999999999997,1.0021407784820635
2026,20,检查检验费,10349151,5,8279320,2069831,7506757,1872090,2241.642154274846,2234.093718975619,0.647029291779232,0.6471880811902658,1.0000000000000004,1.0018970504994824
2027,30,检查检验费,10349151,5,8279320,2069831,7341959,1831679,2215.8823780381344,2194.225827296548,0.6482725936519322,0.646394164378907,0.9999999999999989,1.0015450397447163
2028,50,检查检验费,10349151,5,8279320,2069831,7090467,1769786,2186.1413838668636,2156.478297000692,0.6501298186709727,0.6461037608374427,1.0000000000000002,1.0011546432483684
2029,100,检查检验费,10349151,5,8279320,2069831,6664583,1664381,2135.912440260034,2096.4349275448685,0.652669037661917,0.6464656698386848,0.9999999999999997,1.0008108066678583
2030,5,检查检验费,10349151,6,8279320,2069831,7877825,1959191,2288.4096191334356,2304.3000729162495,0.6412651747279714,0.6509522407171242,1.0000000000000002,1.0036268718708488
2031,10,检查检验费,10349151,6,8279320,2069831,7704121,1919283,2259.0010319216576,2254.874179754884,0.6438260761726152,0.6472438061146255,1.000000000000001,1.0025421247294686
2032,15,检查检验费,10349151,6,8279320,2069831,7577071,1888738,2246.1796833546123,2239.541902478845,0.645306746391996,0.6469565051344185,1.0,1.0022487922968282
2033,20,检查检验费,10349151,6,8279320,2069831,7471739,1863140,2232.2293831733764,2222.7050018795753,0.6462072232499375,0.6465607723267832,0.9999999999999989,1.001982333252024
2034,30,检查检验费,10349151,6,8279320,2069831,7302382,1821694,2207.0563716247016,2176.1111628431045,0.6475484103075517,0.6455864708904977,0.9999999999999977,1.001573910673397
2035,50,检查检验费,10349151,6,8279320,2069831,7043905,1758071,2174.1247693204486,2140.6527431362897,0.6494645292062401,0.6453253507843179,0.9999999999999994,1.0011978119071867
2036,100,检查检验费,10349151,6,8279320,2069831,6608742,1650303,2125.740118485121,2083.9039661097527,0.6520461485214356,0.6456135141083762,0.9999999999999996,1.000803731511499
2037,5,检查检验费,10349151,7,8279320,2069831,7659601,1900703,2220.4104367241966,2211.237018535184,0.6275781202924368,0.637351859919306,1.0000000000000002,1.0040882012011818
